url,category,slug,priority,clicks,impressions,position,ctr
"https://alchemyinvestmentsre.com/","services","home",23,95,1086,"5.2","8.75%"
"https://alchemyinvestmentsre.com/properties/","services","properties",19,12,285,"2.6","4.21%"
"https://alchemyinvestmentsre.com/agent/","services","agent",19,0,4,"1.3","N/A"
"https://alchemyinvestmentsre.com/property/amazing-family-home/","services","property-amazing-family-home",19,0,1,"1.0","N/A"
"https://alchemyinvestmentsre.com/blog/","blog","blog",18,1,174,"2.8","0.57%"
"https://alchemyinvestmentsre.com/get-started/","services","get-started",18,0,99,"2.6","N/A"
"https://alchemyinvestmentsre.com/homepage-3/","services","homepage-3",18,0,69,"1.9","N/A"
"https://alchemyinvestmentsre.com/property-type/family-home/","services","property-type-family-home",18,0,17,"1.9","N/A"
"https://alchemyinvestmentsre.com/state/nevada/","services","state-nevada",18,0,12,"2.1","N/A"
"https://alchemyinvestmentsre.com/status/for-sale/","services","status-for-sale",18,0,48,"1.8","N/A"
"https://alchemyinvestmentsre.com/speak-to-an-expert/","services","speak-to-an-expert",17,0,197,"3.1","N/A"
"https://alchemyinvestmentsre.com/label/hot-offer/","services","label-hot-offer",15,1,1,"5.0","100.00%"
"https://alchemyinvestmentsre.com/10-quick-tips-about-real-estate/","services","10-quick-tips-about-real-estate",15,0,1,"5.0","N/A"
"https://alchemyinvestmentsre.com/agent/brittany-watkins/?is_otto_page_fetch=1","services","agent-brittany-watkins",15,0,4,"4.8","N/A"
"https://alchemyinvestmentsre.com/category/construction/","services","category-construction",15,0,5,"5.4","N/A"
"https://alchemyinvestmentsre.com/feature/sauna/","services","feature-sauna",15,0,2,"5.0","N/A"
"https://alchemyinvestmentsre.com/partner/envato/","services","partner-envato",15,0,1,"5.0","N/A"
"https://alchemyinvestmentsre.com/about-this-demo/","services","about-this-demo",14,7,427,"7.6","1.64%"
"https://alchemyinvestmentsre.com/agent/vincent-fuller/","services","agent-vincent-fuller",14,0,3,"6.3","N/A"
"https://alchemyinvestmentsre.com/property/gorgeous-villa/","services","property-gorgeous-villa",14,0,5,"6.4","N/A"
"https://alchemyinvestmentsre.com/tag/luxury/","services","tag-luxury",14,0,5,"5.8","N/A"
"https://alchemyinvestmentsre.com/agent/samuel-palmer/?utm_source=rss&utm_medium=rss&utm_campaign=samuel-palmer","services","agent-samuel-palmer",13,1,14,"6.7","7.14%"
"https://alchemyinvestmentsre.com/category/marketing/","services","category-marketing",13,0,9,"7.2","N/A"
"https://alchemyinvestmentsre.com/compare-properties/","services","compare-properties",13,0,32,"6.7","N/A"
"https://alchemyinvestmentsre.com/property/comfortable-family-home/","services","property-comfortable-family-home",13,0,2,"7.5","N/A"
"https://alchemyinvestmentsre.com/property/confortable-and-ample-apartment/","services","property-confortable-and-ample-apartment",13,0,2,"7.0","N/A"
"https://alchemyinvestmentsre.com/property/luxury-family-home/","services","property-luxury-family-home",13,0,2,"7.0","N/A"
"https://alchemyinvestmentsre.com/search-results/","services","search-results",13,0,3,"7.3","N/A"
"https://alchemyinvestmentsre.com/tag/apartment/","services","tag-apartment",13,0,14,"7.1","N/A"
"https://alchemyinvestmentsre.com/testimonials/testimonial-2/","services","testimonials-testimonial-2",13,0,3,"6.7","N/A"
"https://alchemyinvestmentsre.com/feature/wifi/","services","feature-wifi",12,0,3,"7.7","N/A"
"https://alchemyinvestmentsre.com/homepage-1/","services","homepage-1",12,0,113,"7.9","N/A"
"https://alchemyinvestmentsre.com/property/luxury-apartment-ocean-view-3/","services","property-luxury-apartment-ocean-view-3",11,0,1,"9.0","N/A"
"https://alchemyinvestmentsre.com/category/business/","services","category-business",10,0,9,"9.9","N/A"
"https://alchemyinvestmentsre.com/category/real-estate/","services","category-real-estate",10,0,9,"9.9","N/A"
"https://alchemyinvestmentsre.com/property-type/villa/","services","property-type-villa",10,0,1,"10.0","N/A"
"https://alchemyinvestmentsre.com/property/gorgeous-villa-for-sale/","services","property-gorgeous-villa-for-sale",10,0,8,"10.4","N/A"
"https://alchemyinvestmentsre.com/property/luxury-home-for-sale/","services","property-luxury-home-for-sale",10,0,1,"10.0","N/A"
"https://alchemyinvestmentsre.com/property/family-home/","services","property-family-home",9,0,10,"11.5","N/A"
"https://alchemyinvestmentsre.com/property/luxury-apartment-ocean-view/","services","property-luxury-apartment-ocean-view",9,0,2,"11.0","N/A"
"https://alchemyinvestmentsre.com/property/villa-with-pool/","services","property-villa-with-pool",9,0,1,"11.0","N/A"
"https://alchemyinvestmentsre.com/agent/michelle-waller/","services","agent-michelle-waller",7,0,10,"13.4","N/A"
"https://alchemyinvestmentsre.com/property/contemporary-apartment/","services","property-contemporary-apartment",7,0,55,"13.6","N/A"
"https://alchemyinvestmentsre.com/property/villa-with-ocean-and-bay-view/","services","property-villa-with-ocean-and-bay-view",6,0,5,"13.6","N/A"
"https://alchemyinvestmentsre.com/status/for-rent/","services","status-for-rent",6,0,8,"14.5","N/A"
"https://alchemyinvestmentsre.com/property/comfortable-apartment-bay-view/","services","property-comfortable-apartment-bay-view",4,0,4,"16.0","N/A"
"https://alchemyinvestmentsre.com/property/penthouse-apartment-2/","services","property-penthouse-apartment-2",3,0,11,"17.5","N/A"
"https://alchemyinvestmentsre.com/property/modern-apartment-on-the-bay/","services","property-modern-apartment-on-the-bay",2,0,7,"18.0","N/A"
"https://alchemyinvestmentsre.com/property/luxury-apartment-bay-view/","services","property-luxury-apartment-bay-view",1,0,4,"18.8","N/A"
"https://alchemyinvestmentsre.com/feature/laundry/?is_otto_page_fetch=1","services","feature-laundry",0,0,1,"84.0","N/A"
"https://alchemyinvestmentsre.com/feature/outdoor-shower/?is_otto_page_fetch=1","services","feature-outdoor-shower",0,0,1,"96.0","N/A"
"https://alchemyinvestmentsre.com/property/amazing-home-for-family-2/","services","property-amazing-home-for-family-2",0,0,5,"47.4","N/A"
"https://alchemyinvestmentsre.com/property/amazing-home-for-family/","services","property-amazing-home-for-family",0,0,3,"61.0","N/A"
"https://alchemyinvestmentsre.com/property/amazing-oceanfront-apartment/","services","property-amazing-oceanfront-apartment",0,0,2,"92.5","N/A"
"https://alchemyinvestmentsre.com/property/ample-apartment-at-last-floor-2/","services","property-ample-apartment-at-last-floor-2",0,0,12,"56.2","N/A"
"https://alchemyinvestmentsre.com/property/ample-apartment-at-last-floor/","services","property-ample-apartment-at-last-floor",0,0,20,"76.3","N/A"
"https://alchemyinvestmentsre.com/property/ample-apartment/","services","property-ample-apartment",0,0,3,"79.0","N/A"
"https://alchemyinvestmentsre.com/property/ample-penthouse/","services","property-ample-penthouse",0,0,3,"44.0","N/A"
"https://alchemyinvestmentsre.com/property/confortable-apartment/","services","property-confortable-apartment",0,0,1,"37.0","N/A"
"https://alchemyinvestmentsre.com/property/design-place-apartment/","services","property-design-place-apartment",0,0,10,"41.5","N/A"
"https://alchemyinvestmentsre.com/property/family-home-for-sale/","services","property-family-home-for-sale",0,0,4,"59.5","N/A"
"https://alchemyinvestmentsre.com/property/gorgeous-apartment-bay-front/","services","property-gorgeous-apartment-bay-front",0,0,2,"29.5","N/A"
"https://alchemyinvestmentsre.com/property/guaranteed-modern-home/","services","property-guaranteed-modern-home",0,0,7,"36.7","N/A"
"https://alchemyinvestmentsre.com/property/luxury-family-home-3/","services","property-luxury-family-home-3",0,0,3,"42.3","N/A"
"https://alchemyinvestmentsre.com/property/luxury-villa-with-oceanview/","services","property-luxury-villa-with-oceanview",0,0,6,"51.0","N/A"
"https://alchemyinvestmentsre.com/property/luxury-villa-with-pool/","services","property-luxury-villa-with-pool",0,0,16,"39.8","N/A"
"https://alchemyinvestmentsre.com/property/modern-apartment-2/","services","property-modern-apartment-2",0,0,19,"35.1","N/A"
"https://alchemyinvestmentsre.com/property/modern-apartment-on-the-bay-2/","services","property-modern-apartment-on-the-bay-2",0,0,6,"50.2","N/A"
"https://alchemyinvestmentsre.com/property/modern-apartment/","services","property-modern-apartment",0,0,25,"47.4","N/A"
"https://alchemyinvestmentsre.com/property/modern-day-apartment/","services","property-modern-day-apartment",0,0,8,"57.1","N/A"
"https://alchemyinvestmentsre.com/property/penthouse-apartment/","services","property-penthouse-apartment",0,0,4,"38.5","N/A"
"https://alchemyinvestmentsre.com/property/relaxing-apartment-ocean-view/","services","property-relaxing-apartment-ocean-view",0,0,8,"41.9","N/A"
"https://alchemyinvestmentsre.com/property/renovated-apartment/","services","property-renovated-apartment",0,0,8,"36.1","N/A"
"https://alchemyinvestmentsre.com/property/villa-for-sale/","services","property-villa-for-sale",0,0,4,"34.0","N/A"